dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2)
34.5,0.0,19.455,-0.048069
34.6,0.0,19.455,-0.048069
34.7,0.0,19.455,-0.048069
34.8,0.0,19.455,-0.048069
34.9,0.0,19.455,-0.048069
35.0,0.0,19.455,-0.048069
35.1,0.0,19.455,-0.048069
35.2,0.0,19.455,-0.048069
35.3,0.0,19.455,-0.048069
35.4,0.0,19.455,-0.048069
35.5,0.0,19.455,-0.048069
35.6,0.0,19.455,-0.048069
35.7,0.0,19.455,-0.048069
35.8,0.0,19.455,-0.048069
35.9,0.0,19.455,-0.048069
36.0,0.0,19.455,-0.048069
36.1,0.0,19.455,-0.048069
36.2,0.0,19.455,-0.048069
36.3,0.0,19.455,-0.048069
36.4,0.0,19.455,-0.048069
36.5,0.0,19.455,-0.048069
36.6,0.0,19.455,-0.048069
36.7,0.0,19.455,-0.048069
36.8,0.0,19.455,-0.048069
36.9,0.0,19.455,-0.048069
37.0,0.0,19.455,-0.048069
37.1,0.0,19.455,-0.048069
37.2,0.0,19.455,-0.048069
37.3,0.0,19.455,-0.048069
37.4,0.0,19.455,-0.048069
37.5,0.0,19.455,-0.048069
37.6,0.0,19.455,-0.048069
37.7,0.0,19.455,-0.048069
37.8,0.0,19.455,-0.048069
37.9,0.0,19.455,-0.048069
38.0,0.0,19.455,-0.048069
38.1,0.0,19.455,-0.048069
38.2,0.0,19.455,-0.048069
38.3,0.0,19.455,-0.048069
38.4,0.0,19.455,-0.048069
38.5,0.0,19.455,-0.048069
38.6,0.0,19.455,-0.048069
38.7,0.0,19.455,-0.048069
38.8,0.0,19.455,-0.048069
38.9,0.0,19.455,-0.048069
39.0,0.0,19.455,-0.048069
39.1,0.0,19.455,-0.048069
39.2,0.0,19.455,-0.048069
39.3,0.0,19.455,-0.048069
39.4,0.0,19.455,-0.048069
39.5,0.0,19.455,-0.048069
39.6,0.0,19.455,-0.048069
39.7,0.0,19.455,-0.048069
