timestamp(s),Cons_FC_PB,Cons_FC_P1,Cons_FC_P2,Cons_FC_P3,Ilum_PB,Ilum_P1,Ilum_P2,Ilum_P3,Temp_PB,Temp_P1,Cons_Ref,Cons_Vent,TOTAL
288000.0,0.0,935.8085876662406,745.7401998756458,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,24.5694348232302,24.8917808707617,31490.8452143224,9725.290346259173,137184.442577532
291600.0,494.381249999999,1005.2440894380795,827.8438720724149,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,25.2269575573199,24.4423980855587,37411.5505306958,9725.290346259173,135730.779930736
295200.0,1061.3625,1191.8160630610455,977.3314774892698,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,26.4620796276568,24.4293143407952,49970.9234082705,9725.290346259173,138798.907860004
298800.0,1195.425,1403.5305788394855,1071.3810035162114,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.4591187117761,24.5813594863872,58392.3365169999,9725.290346259173,135910.62935876
302400.0,1195.425,1439.0267014116375,1101.744192275932,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.8196196315071,24.6451680716268,60404.7528190869,9725.290346259173,128009.689836785
306000.0,1195.425,1423.6305314716415,1110.8617659873676,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.9127082445333,24.6256332116114,59589.7922470939,9725.290346259173,121018.903290436
309600.0,,,,660.192899999999,,,,1215.1836015600002,,,59654.9355944777,9725.290346259173,119469.11994271
313200.0,597.7125,,357.9671731096141,330.096449999999,5782.91185669999,,4472.217360000001,1215.1836015600002,27.2787184464291,,57403.1000513028,9725.290346259173,99796.1289958006
316800.0,0.0,,260.1858914905528,0.0,5782.91185669999,,4472.217360000001,0.0,28.0602427731193,,29293.1516562711,3057.207941072213,44038.0205385157
320400.0,0.0,1167.88828148022,239.1748434704116,0.0,4959.81385669999,0.0,4472.217360000001,0.0,28.1483863268946,28.8487580319105,23110.0188733651,2379.4622446888798,46577.8069844563
324000.0,0.0,1086.26275422621,221.90303145004302,0.0,1034.1789641749992,0.0,4472.217360000001,0.0,27.797967668969,28.9358569988174,21934.1693226496,2379.4622446888798,49413.3274346776
327600.0,0.0,932.262731113919,205.2612543199776,0.0,0.0,0.0,4472.217360000001,0.0,27.6127526344955,28.9017305241102,21239.1217042918,2379.4622446888798,56415.233614204
331200.0,0.0,774.58661687809,0.0,0.0,0.0,0.0,4472.217360000001,0.0,27.4716011943587,28.8374552875034,9011.5919572995,0.0,49392.8978648366
334800.0,0.0,726.543008105866,0.0,0.0,0.0,0.0,4472.217360000001,0.0,27.3263336699304,28.7327968344818,8317.43163235293,0.0,50032.1140957204
338400.0,0.0,695.125419593984,0.0,0.0,0.0,0.0,4472.217360000001,0.0,27.2075860062696,28.6375457769948,8010.69990761758,0.0,49689.0631247874
342000.0,0.0,666.69194009103,0.0,0.0,0.0,0.0,0.0,0.0,27.1175276780676,28.574778229933,7691.4481139852,0.0,44864.4510383159
345600.0,0.0,627.055116059641,0.0,0.0,0.0,0.0,0.0,0.0,27.0112945319369,28.4743547549575,7250.45852909769,0.0,44377.9975020663
349200.0,0.0,389.563500291622,0.0,0.0,0.0,0.0,0.0,0.0,26.8725512244576,28.3150944406704,6887.06684990719,0.0,43769.6882420963
352800.0,0.0,349.595812253451,0.0,0.0,0.0,0.0,0.0,0.0,26.717960599765,28.1278048913939,6288.7764925636,0.0,43124.1952144167
356400.0,0.0,341.75662533821,0.0,0.0,0.0,0.0,0.0,0.0,26.6377075882757,28.059035499826,6168.51645627853,0.0,42994.7011499108
360000.0,0.0,328.101044417634,0.0,0.0,0.0,0.0,0.0,0.0,26.5827166956396,28.0262318009649,5959.20546461056,0.0,42768.7877327579
363600.0,0.0,312.204988206859,0.0,0.0,0.0,0.0,0.0,0.0,26.4991959547149,27.9437455273545,5728.5801499827,0.0,42518.9611448418
367200.0,0.0,307.262398799951,0.0,0.0,2068.3579283499994,2126.0596999999984,0.0,0.0,26.4170785137196,27.9145757820078,5751.79881265609,0.0,46701.3379417965
370800.0,69.31875,215.212223501773,339.46142804668807,330.09645,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,24.0697871355582,27.4927376784023,17822.9629787032,7445.274626349584,84685.6452065907
374400.0,0.0,951.3750763373157,810.0426336300702,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,24.5784886173433,25.0886957686707,30204.2617983668,9725.290346259173,136035.649600456
378000.0,0.0,1000.1927936835025,849.842683891919,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,24.7740921818047,24.5566406167706,32113.0045575099,9725.290346259173,129840.319056757
381600.0,813.815631125338,1165.5537729125435,951.6804701676591,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,25.8029134242294,24.4493142283312,43042.4091423263,9725.290346259173,131393.099076111
385200.0,1195.425,1381.4106220060505,1074.1610974641187,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.1426749114397,24.5526379865283,56220.0511991354,9725.290346259173,133643.935457835
388800.0,1195.425,1435.1657522799846,1120.1523990471946,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.5878032988535,24.6993069124852,60902.9696421786,9725.290346259173,128643.923248829
392400.0,1195.425,1442.8199664937565,1144.912324499925,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.7354718668649,24.7739535329442,62736.1503419901,9725.290346259173,123771.189060042
396000.0,1195.425,1457.8897861644637,1237.223341927322,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.8917242096962,24.8490761847269,64983.6888046773,9725.290346259173,124631.90504967
399600.0,597.7125,1300.5699595818116,386.56301260276524,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.2041629538387,24.2262624100566,61907.298538178,9725.290346259173,76342.6842303111
403200.0,0.0,1188.18774023696,844.973821579434,0.0,5782.91185669999,2126.0596999999984,4472.217360000001,607.59180078,27.8319785319623,27.4920804153511,23162.3222994497,1189.731122344443,35400.0641198286
406800.0,0.0,1120.44708389657,0.0,0.0,5782.91185669999,0.0,4472.217360000001,0.0,28.0940556045635,28.5932076138279,10436.6195204694,0.0,30512.2026474451
410400.0,0.0,1087.22812744895,0.0,0.0,4959.81385669999,0.0,2236.1086800000003,0.0,28.0205306647007,28.7279817590204,10074.5734676938,0.0,37288.9194920802
414000.0,0.0,873.727501323609,0.0,0.0,1034.1789641749992,0.0,0.0,0.0,27.6653392187489,28.7279057514374,9662.88927757304,0.0,39529.3369018004
417600.0,0.0,765.452500212342,0.0,0.0,0.0,0.0,0.0,0.0,27.466681963385,28.6790158569763,9067.4380853943,0.0,45052.9073731207
421200.0,0.0,719.04748384046,0.0,0.0,0.0,0.0,0.0,0.0,27.3004501182774,28.5717036808044,8578.90367437794,0.0,45813.6910649928
424800.0,0.0,683.670508551269,0.0,0.0,0.0,0.0,0.0,0.0,27.1573703334506,28.4615126059043,8229.32910813279,0.0,45423.3884241768
428400.0,0.0,665.008743872407,0.0,0.0,0.0,0.0,0.0,0.0,27.0536940885998,28.3946222423147,8079.24249700035,0.0,45251.6811861053
432000.0,0.0,651.518459773144,0.0,0.0,0.0,0.0,0.0,0.0,26.9754200258263,28.3545880236601,7960.89787062263,0.0,45117.5754452863
