mad_timestamp(s),mad_x,mad_y,mad_z,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
10.700000000000003,10.700000000000003,10.700000000000003,10.700000000000003,50,-1.0,-0.1,10.98016848686758,15.289999999999992,3.4074074074074074,5.678153450884977,368,108,3.511555155078813,3.016574524081499,15.116722528378958,4.796169405815424,4.4109584966065905,25.589999999999993,19.019019019019012,79.17917917917919,1.8018018018018018
10.900000000000002,10.900000000000002,10.900000000000002,10.900000000000002,50,-1.0,-0.1,10.98016848686758,15.289999999999992,3.388888888888889,5.672926825319722,366,108,3.5889123332685524,3.0467797715348723,15.116722528378958,4.894810606060607,4.433191352760509,25.589999999999993,18.91891891891892,79.27927927927928,1.8018018018018018
11.100000000000003,11.100000000000003,11.100000000000003,11.100000000000003,50,-1.0,-0.1,11.268899680092998,15.289999999999992,3.4444444444444446,5.704665623552638,372,108,3.5812037897995013,3.0821176282850757,15.116722528378958,4.881504424778762,4.487807799942183,25.589999999999993,19.219219219219212,79.17917917917919,1.6016016016016015
11.300000000000004,11.300000000000004,11.300000000000004,11.300000000000004,50,-1.0,-0.1,12.128132585027252,16.539999999999992,3.439252336448598,5.722847422268856,368,107,3.6226719944745334,3.11730946932136,15.116722528378958,4.941565656565657,4.52952403159095,25.589999999999993,19.01901901901902,79.27927927927928,1.7017017017017018
11.500000000000004,11.500000000000004,11.500000000000004,11.500000000000004,50,-1.0,-0.1,12.128132585027252,16.539999999999992,3.452830188679245,5.713492926747552,366,106,3.6552417055485984,3.1777778738345317,16.55845705372333,4.989166666666667,4.629158879517767,28.04999999999999,18.91891891891892,79.27927927927928,1.8018018018018018
11.700000000000003,11.700000000000003,11.700000000000003,11.700000000000003,50,-1.0,-0.1,12.128132585027252,16.539999999999992,3.4074074074074074,5.678153450884977,368,108,3.682863532739685,3.204282789356406,16.55845705372333,5.02084595959596,4.661558938150125,28.04999999999999,19.01901901901902,79.27927927927928,1.7017017017017018
11.900000000000004,11.900000000000004,11.900000000000004,11.900000000000004,50,-1.0,-0.1,12.128132585027252,16.539999999999992,3.4074074074074074,5.668360918350724,368,108,3.6958173580797857,3.217989100968291,16.55845705372333,5.035485498108449,4.672645793480195,28.04999999999999,19.019019019019026,79.37937937937937,1.6016016016016015
12.100000000000005,12.100000000000005,12.100000000000005,12.100000000000005,50,-1.0,-0.1,12.128132585027252,16.539999999999992,3.4074074074074074,5.666727184377888,368,108,3.7278810991571216,3.2468662266749475,16.55845705372333,5.084382871536525,4.710238960765706,28.04999999999999,19.01901901901902,79.47947947947948,1.5015015015015014
12.300000000000004,12.300000000000004,12.300000000000004,12.300000000000004,50,-1.0,-0.1,12.128132585027252,16.539999999999992,3.4205607476635516,5.658567870032812,366,107,3.765008179965181,3.320457275793979,17.417258682123315,5.144422110552764,4.853381486342634,29.53,18.91891891891892,79.67967967967968,1.4014014014014013
12.500000000000004,12.500000000000004,12.500000000000004,12.500000000000004,50,-1.0,-0.1,12.128132585027252,16.539999999999992,3.452830188679245,5.6820340423088425,366,106,3.8019637800105754,3.346256043451529,17.417258682123315,5.194905897114178,4.887664564060042,29.53,18.918918918918912,79.77977977977979,1.3013013013013013
