mad_timestamp(s),mad_s1,mad_s2,mad_s3,mad_s4,mad_s5,mad_s6,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
4.2,4.2,4.2,4.2,4.2,4.2,4.2,50,-1.0,-0.1,2.722131517763193,4.699999999999918,11.7,25.884551377221126,234,20,0.27015179618794316,0.7691555337726813,5.752390807307825,0.4456896551724136,1.3095400772908448,9.899999999999935,8.104814137720908,91.89518586227909,0.0
4.4,4.4,4.4,4.4,4.4,4.4,4.4,50,-1.0,-0.1,2.722131517763193,4.699999999999918,11.7,25.884551377221126,234,20,0.27015179618794316,0.7691555337726813,5.752390807307825,0.4456896551724136,1.3095400772908448,9.899999999999935,8.104814137720908,91.89518586227909,0.0
4.6000000000000005,4.6000000000000005,4.6000000000000005,4.6000000000000005,4.6000000000000005,4.6000000000000005,4.6000000000000005,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.210526315789474,26.44274638847291,232,19,0.28969415049093405,0.8673966992785633,6.6068146636636085,0.4791777188328909,1.4766274078360164,11.100000000000055,8.043875685557593,91.89518586227909,0.06093845216331505
4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.210526315789474,26.44274638847291,232,19,0.2924332471267536,0.8763773003864992,6.6068146636636085,0.4840848806366045,1.4927184086213936,11.100000000000055,8.043875685557593,91.89518586227909,0.06093845216331505
5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.210526315789474,26.44274638847291,232,19,0.29697015506042046,0.8936264154238899,7.138627319029926,0.49171636845593075,1.521366806954407,12.000000000000043,8.043875685557595,91.9561243144424,0.0
5.2,5.2,5.2,5.2,5.2,5.2,5.2,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.210526315789474,26.44274638847291,232,19,0.29697015506042046,0.8936264154238899,7.138627319029926,0.49171636845593075,1.521366806954407,12.000000000000043,8.043875685557595,91.9561243144424,0.0
5.4,5.4,5.4,5.4,5.4,5.4,5.4,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.210526315789474,26.44274638847291,232,19,0.29697015506042046,0.8936264154238899,7.138627319029926,0.49171636845593075,1.521366806954407,12.000000000000043,8.043875685557595,91.9561243144424,0.0
5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.210526315789474,26.44274638847291,232,19,0.2983591555747689,0.8991718293140422,7.138627319029926,0.49416832339297506,1.531257854552199,12.000000000000043,8.043875685557595,91.9561243144424,0.0
5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.777777777777779,27.040207830306574,230,18,0.31384402295587066,0.9951560651141458,8.645229898620425,0.5201457919151747,1.6923026861825143,14.600000000000048,7.98293723339428,91.9561243144424,0.06093845216331505
6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.777777777777779,27.040207830306574,230,18,0.31802292416014477,1.0080990392101419,8.645229898620425,0.5275016567263079,1.715297538897808,14.600000000000048,7.98293723339428,91.9561243144424,0.06093845216331505
6.2,6.2,6.2,6.2,6.2,6.2,6.2,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.777777777777779,27.040207830306574,230,18,0.32389097512119297,1.0332238817784978,9.178779875342931,0.5374172185430456,1.7574582653381867,15.500000000000036,7.982937233394267,92.01706276660573,0.0
6.4,6.4,6.4,6.4,6.4,6.4,6.4,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.777777777777779,27.040207830306574,230,18,0.32389097512119297,1.0332238817784978,9.178779875342931,0.5374172185430456,1.7574582653381867,15.500000000000036,7.982937233394267,92.01706276660573,0.0
6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.777777777777779,27.040207830306574,230,18,0.32389097512119297,1.0332238817784978,9.178779875342931,0.5374172185430456,1.7574582653381867,15.500000000000036,7.982937233394267,92.01706276660573,0.0
6.800000000000001,6.800000000000001,6.800000000000001,6.800000000000001,6.800000000000001,6.800000000000001,6.800000000000001,50,-1.0,-0.1,2.722131517763193,4.699999999999918,12.777777777777779,27.040207830306574,230,18,0.32389097512119297,1.0332238817784978,9.178779875342931,0.5374172185430456,1.7574582653381867,15.500000000000036,7.982937233394267,92.01706276660573,0.0
7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,50,-1.0,-0.1,2.722131517763193,4.699999999999918,14.25,28.32512135896332,228,16,0.3485049066582532,1.1784746956047965,10.688779163216,0.5791390728476814,2.0037172211949086,18.10000000000004,7.921998781230952,92.01706276660573,0.06093845216331505
