timestamp(s),s1,s2,s3,s4,s5,s6
5790,90,55,170,100,90,10
5800,90,55,170,100,90,10
5810,90,55,170,100,90,10
5820,90,55,170,100,90,10
5830,90,55,170,100,90,10
5840,90,55,170,100,90,10
5850,90,55,170,100,90,10
5860,90,55,170,100,90,10
5870,90,55,170,100,90,10
5880,90,55,170,100,90,10
5890,90,55,170,100,90,10
5900,90,55,170,100,90,10
5910,90,55,170,100,90,10
5920,90,55,170,100,90,10
5930,90,55,170,100,90,10
5940,90,55,170,100,90,10
5950,90,55,170,100,90,10
5960,90,55,170,100,90,10
5970,90,55,170,100,90,10
5980,90,55,170,100,90,10
5990,90,55,170,100,90,10
6000,90,55,170,100,90,10
6010,90,55,170,86,90,10
6020,90,55,170,86,90,10
6030,90,55,170,86,90,10
6040,90,55,170,86,90,10
6050,90,55,170,86,90,10
6060,90,55,170,86,90,10
6070,90,55,170,86,90,10
6080,90,55,170,86,90,10
6090,90,55,170,86,90,10
6100,90,55,170,86,90,10
6110,90,55,170,86,90,10
6120,90,55,170,86,90,10
6130,90,55,170,86,90,10
6140,90,55,170,86,90,10
6150,90,55,170,86,90,10
6160,90,55,170,86,90,10
6170,90,55,170,86,90,10
6180,90,55,170,86,90,10
6190,90,55,170,86,90,10
6200,90,55,170,86,90,10
6210,90,55,170,86,90,10
6220,90,55,170,86,90,10
6230,90,55,170,86,90,10
6240,90,55,170,86,90,10
6250,90,55,170,86,90,10
6260,90,55,170,86,90,10
6270,90,55,170,86,90,10
6280,90,55,170,86,90,10
6290,90,55,170,86,90,10
6300,90,55,170,86,90,10
6310,90,55,170,86,90,10
6320,90,55,170,86,90,10
6330,90,55,170,86,90,10
6340,90,55,170,86,90,10
6350,90,55,170,86,90,10
6360,90,55,170,86,90,10
6370,90,55,170,86,90,10
6380,90,55,170,86,90,10
6390,90,55,170,86,90,10
6400,90,55,170,86,90,10
6410,90,55,170,86,90,10
6420,90,55,170,86,90,10
6430,90,55,170,86,90,10
6440,90,55,170,86,90,10
6450,90,55,170,86,90,10
6460,90,55,170,86,90,10
6470,90,55,170,86,90,10
6480,90,55,170,86,90,10
6490,90,55,170,86,90,10
6500,90,55,170,86,90,10
6510,90,55,170,86,90,10
6520,90,55,170,86,90,10
6530,90,55,170,86,90,10
6540,90,55,170,86,90,10
6550,90,55,170,86,90,10
