timestamp(s),accel(m/s2),speed(m/s),position(m)
105.9,0,0,122.22
106,0,0,122.32
106.1,0,0,122.42
106.2,0,0,122.52
106.3,0,0,122.62
106.4,0,0,122.72
106.5,0,0,122.82
106.6,0,0,122.92
106.7,0,0,123.02
106.8,0,0,123.12
106.9,0,0,123.22
107,0,0,123.32
107.1,0,0,123.42
107.2,0,0,123.52
107.3,0,0,123.62
107.4,0,0,123.72
107.5,0,0,123.82
107.6,0,0,123.92
107.7,0,0,124.02
107.8,0,0,124.12
107.9,0,0,124.22
108,0,0,124.32
108.1,0,0,124.42
108.2,0,0,124.52
108.3,0,0,124.62
108.4,0,0,124.72
108.5,0,0,124.82
108.6,0,0,124.92
108.7,0,0,125.02
108.8,0,0,125.12
108.9,0,0,125.22
109,0,0,125.32
109.1,0,0,125.42
109.2,0,0,125.52
109.3,0,0,125.62
109.4,0,0,125.72
109.5,0,0,125.82
109.6,0,0,125.92
109.7,0,0,126.02
109.8,0,0,126.12
109.9,0,0,126.22
110,0,0,126.32
110.1,0,0,126.42
110.2,0,0,126.52
110.3,0,0,126.62
110.4,0,0,126.72
110.5,0,0,126.82
110.6,0,0,126.92
110.7,0,0,127.02
110.8,0,0,127.12
110.9,0,0,127.22
111,0,0,127.32
111.1,0,0,127.42
111.2,0,0,127.52
111.3,0,0,127.62
111.4,0,0,127.72
111.5,0,0,127.82
111.6,0,0,127.92
111.7,0,0,128.02
111.8,0,0,128.12
111.9,0,0,128.22
112,0,0,128.32
112.1,0,0,128.42
112.2,0,0,128.52
112.3,0,0,128.62
112.4,0,0,128.72
112.5,0,0,128.82
112.6,0,0,128.92
112.7,0,0,129.02
112.8,0,0,129.12
112.9,0,0,129.22
113,0,0,129.32
113.1,0,0,129.42
113.2,0,0,129.52
113.3,0,0,129.62
113.4,0,0,129.72
113.5,0,0,129.82
113.6,0,0,129.92
113.7,0,0,130.02
113.8,0,0,130.12
113.9,0,0,130.22
114,0,0,130.32
114.1,0,0,130.42
114.2,0,0,130.52
114.3,0,0,130.62
114.4,0,0,130.72
