timestamp(s),accel(m/s2),events,average_time_between_events,normalized_average_time_between_events
47.81,-0.01962,-,6.1245,0.984171621
47.909,-0.014715,-,6.1245,0.984171621
48.007,-0.004905,-,6.1245,0.984171621
48.129,-0.004905,-,6.1245,0.984171621
48.205,-0.014715,-,6.1245,0.984171621
48.304,-0.00981,-,6.1245,0.984171621
48.402,-0.014715,-,6.1245,0.984171621
48.51,-0.01962,-,6.1245,0.984171621
48.6,-0.004905,-,6.1245,0.984171621
48.73,-0.00981,-,6.1245,0.984171621
48.797,-0.004905,-,6.1245,0.984171621
48.896,-0.014715,-,6.1245,0.984171621
48.995,0.004905,-,6.1245,0.984171621
49.099,0,-,6.1245,0.984171621
49.192,-0.023544,-,6.1245,0.984171621
49.315,-0.01962,-,6.1245,0.984171621
49.39,-0.004905,-,6.1245,0.984171621
49.488,-0.028449,-,6.1245,0.984171621
49.587,-0.023544,-,6.1245,0.984171621
49.686,0.028449,-,6.1245,0.984171621
49.784,-0.004905,-,6.1245,0.984171621
49.884,-0.00981,-,6.1245,0.984171621
49.982,-0.01962,-,6.1245,0.984171621
50.119,-0.004905,-,6.1245,0.984171621
50.18,-0.01962,-,6.1245,0.984171621
50.279,-0.00981,-,6.1245,0.984171621
50.377,-0.014715,-,6.1245,0.984171621
50.476,0,-,6.1245,0.984171621
50.579,-0.014715,-,6.1245,0.984171621
50.673,0.004905,-,6.1245,0.984171621
50.777,-0.004905,-,6.1245,0.984171621
50.871,-0.01962,-,6.1245,0.984171621
50.991,-0.01962,-,6.1245,0.984171621
51.068,-0.01962,-,6.1245,0.984171621
51.167,-0.014715,-,6.1245,0.984171621
51.266,-0.014715,-,6.1245,0.984171621
51.365,-0.004905,-,6.1245,0.984171621
51.464,-0.004905,-,6.1245,0.984171621
51.582,0,-,6.1245,0.984171621
51.661,0,-,6.1245,0.984171621
51.759,-0.014715,-,6.1245,0.984171621
51.859,-0.00981,-,6.1245,0.984171621
51.957,-0.004905,-,6.1245,0.984171621
52.056,-0.00981,-,6.1245,0.984171621
52.172,-0.01962,-,6.1245,0.984171621
52.254,-0.033354,-,6.1245,0.984171621
52.389,-0.023544,-,6.1245,0.984171621
52.452,-0.01962,-,6.1245,0.984171621
52.55,0,-,6.1245,0.984171621
52.649,-0.00981,-,6.1245,0.984171621
52.773,-0.01962,-,6.1245,0.984171621
52.846,-0.014715,-,6.1245,0.984171621
52.945,-0.014715,-,6.1245,0.984171621
53.044,-0.01962,-,6.1245,0.984171621
53.143,-0.00981,-,6.1245,0.984171621
53.241,-0.004905,-,6.1245,0.984171621
53.373,-0.004905,-,6.1245,0.984171621
53.439,-0.004905,-,6.1245,0.984171621
53.538,-0.014715,-,6.1245,0.984171621
53.636,-0.00981,-,6.1245,0.984171621
53.735,-0.014715,-,6.1245,0.984171621
53.833,-0.014715,-,6.1245,0.984171621
53.933,-0.014715,-,6.1245,0.984171621
54.031,-0.004905,-,6.1245,0.984171621
54.129,-0.004905,-,6.1245,0.984171621
54.249,-0.004905,-,6.1245,0.984171621
54.327,-0.01962,-,6.1245,0.984171621
54.425,-0.014715,-,6.1245,0.984171621
54.524,-0.014715,-,6.1245,0.984171621
54.635,0,-,6.1245,0.984171621
54.722,-0.00981,-,6.1245,0.984171621
54.821,0,-,6.1245,0.984171621
54.919,-0.023544,-,6.1245,0.984171621
55.021,-0.014715,-,6.1245,0.984171621
55.117,-0.00981,-,6.1245,0.984171621
55.24,0.00981,-,6.1245,0.984171621
55.315,-0.023544,-,6.1245,0.984171621
55.414,-0.004905,-,6.1245,0.984171621
55.512,-0.004905,-,6.1245,0.984171621
55.615,-0.014715,-,6.1245,0.984171621
55.71,-0.01962,-,6.1245,0.984171621
55.843,-0.014715,-,6.1245,0.984171621
55.908,-0.023544,-,6.1245,0.984171621
56.006,0.00981,-,6.1245,0.984171621
56.104,0.004905,-,6.1245,0.984171621
56.226,-0.01962,-,6.1245,0.984171621
56.302,-0.00981,-,6.1245,0.984171621
56.401,-0.01962,-,6.1245,0.984171621
56.501,-0.023544,-,6.1245,0.984171621
56.626,0.014715,-,6.1245,0.984171621
56.698,-0.00981,-,6.1245,0.984171621
56.797,-0.01962,-,6.1245,0.984171621
56.896,-0.028449,-,6.1245,0.984171621
56.994,-0.023544,-,6.1245,0.984171621
57.092,0,-,6.1245,0.984171621
57.192,0,-,6.1245,0.984171621
57.298,0,-,6.1245,0.984171621
57.389,-0.01962,-,6.1245,0.984171621
57.487,0.004905,-,6.1245,0.984171621
57.587,0,-,6.1245,0.984171621
57.686,-0.014715,-,6.1245,0.984171621
57.784,-0.014715,-,6.1245,0.984171621
57.883,-0.028449,-,6.1245,0.984171621
57.983,-0.014715,-,6.1245,0.984171621
58.081,-0.004905,-,6.1245,0.984171621
58.18,-0.01962,-,6.1245,0.984171621
58.278,-0.00981,-,6.1245,0.984171621
58.377,-0.00981,-,6.1245,0.984171621
58.476,-0.00981,-,6.1245,0.984171621
58.575,-0.01962,-,6.1245,0.984171621
58.691,-0.004905,-,6.1245,0.984171621
58.772,-0.00981,-,6.1245,0.984171621
58.902,-0.01962,-,6.1245,0.984171621
58.97,0,-,6.1245,0.984171621
59.068,-0.004905,-,6.1245,0.984171621
59.166,0,-,6.1245,0.984171621
59.291,0,-,6.1245,0.984171621
59.365,-0.004905,-,6.1245,0.984171621
59.464,-0.004905,-,6.1245,0.984171621
59.562,0,-,6.1245,0.984171621
